"last_name, first_name","player_id","year","whiff_percent"
"Lyles, Jordan",543475,2022,21.9
"Suárez, Ranger",624133,2022,21.4
"Myers, Tobias",668964,2024,21.3
"Rogers, Trevor",669432,2024,20.9
"Ashcraft, Graham",668933,2023,22.3
"Morton, Charlie",450203,2023,32.2
"Pivetta, Nick",601713,2023,29.6
"Gibson, Kyle",502043,2023,25.4
"Eflin, Zach",621107,2024,21.6
"Detmers, Reid",672282,2022,25.5
"Cease, Dylan",656302,2024,32.4
"Ober, Bailey",641927,2023,28.7
"Hendricks, Kyle",543294,2023,21.1
"Keller, Mitch",656605,2024,21.5
"Brown, Hunter",686613,2024,25.1
"Brubaker, JT",664141,2022,27.6
"Gray, Josiah",680686,2023,26.2
"Gore, MacKenzie",669022,2023,27.9
"Kikuchi, Yusei",579328,2024,29
"Wood, Alex",622072,2022,25
"Carrasco, Carlos",471911,2022,27.7
"Harrison, Kyle",690986,2024,23.6
"Feltner, Ryan",663372,2024,23.9
"Kremer, Dean",665152,2024,23.3
"Berríos, José",621244,2023,25.5
"Detmers, Reid",672282,2023,27.1
"Hill, Rich",448179,2023,19.3
"Rodón, Carlos",607074,2024,30.1
"Taillon, Jameson",592791,2022,23.1
"McClanahan, Shane",663556,2022,34.3
"Canning, Griffin",656288,2024,24.5
"Mahle, Tyler",641816,2022,26.8
"Rodriguez, Grayson",680570,2023,26.3
"Greinke, Zack",425844,2023,17.3
"Bradley, Taj",671737,2024,27.4
"Wacha, Michael",608379,2024,23.3
"Flexen, Chris",623167,2024,22.7
"Kaprielian, James",621076,2022,21.3
"Civale, Aaron",650644,2024,21.9
"Severino, Luis",622663,2024,22
"Martinez, Nick",607259,2024,23.1
"Suárez, Ranger",624133,2024,21.9
"Morton, Charlie",450203,2024,26.1
"Quintana, Jose",500779,2024,22.2
"Lauer, Eric",641778,2022,24.2
"Dunning, Dane",641540,2023,22.3
"Ohtani, Shohei",660271,2022,33.1
"King, Michael",650633,2024,29.3
"Wheeler, Zack",554430,2024,27.5
"Corbin, Patrick",571578,2024,22.4
"Cortes Jr., Nestor",641482,2024,24.2
"Cole, Gerrit",543037,2022,34.1
"Freeland, Kyle",607536,2022,20.8
"Walker, Taijuan",592836,2022,23.6
"Quantrill, Cal",615698,2022,18.5
"Bumgarner, Madison",518516,2022,18.2
"Smyly, Drew",592767,2023,27.1
"Greene, Hunter",668881,2022,32
"Jones, Jared",683003,2024,30.2
"Nola, Aaron",605400,2022,27.9
"Kikuchi, Yusei",579328,2023,28
"Cole, Gerrit",543037,2023,26.2
"Mikolas, Miles",571945,2022,18.7
"Pepiot, Ryan",686752,2024,29.9
"Gausman, Kevin",592332,2023,28.9
"Castillo, Luis",622491,2022,27.8
"Kremer, Dean",665152,2022,22.3
"Corbin, Patrick",571578,2023,21.4
"Scherzer, Max",453286,2023,28.6
"Cease, Dylan",656302,2023,31
"Flexen, Chris",623167,2022,21.8
"Bibee, Tanner",676440,2024,26.9
"Mikolas, Miles",571945,2023,16.7
"Kirby, George",669923,2023,22.9
"Lynn, Lance",458681,2022,28.5
"Urías, Julio",628711,2022,23.9
"Parker, Mitchell",680730,2024,22.3
"Ryan, Joe",657746,2023,26.8
"Kelly, Merrill",518876,2023,27
"Fedde, Erick",607200,2022,18.4
"Dunning, Dane",641540,2022,24.5
"Morton, Charlie",450203,2022,29.3
"Gomber, Austin",596295,2023,19.1
"Nelson, Ryne",669194,2024,18.2
"Waldron, Matt",663362,2024,20.8
"Montas, Frankie",593423,2022,27.6
"Flaherty, Jack",656427,2024,32.1
"Bello, Brayan",678394,2024,25.9
"Snell, Blake",605483,2022,32.8
"Gallen, Zac",668678,2024,26
"Crawford, Kutter",676710,2024,25.3
"Wilson, Bryse",669060,2022,18
"Irvin, Jake",663623,2023,17.9
"Pivetta, Nick",601713,2024,25.6
