"last_name, first_name","player_id","year","pa","home_run","k_percent","bb_percent","b_total_ball","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Beltrán, Carlos",136860,2017,509,14,20,6.5,"673",".283",".284",29.4,4.6,31,"97.251447204","92.65384752",19.8,47.9
"Pujols, Albert",405395,2017,636,23,14.6,5.8,"867",".286",".316",31.9,5.4,39.2,"99.285027729","93.741547151",20.6,47.1
"Mauer, Joe",408045,2017,597,7,13.9,11.1,"1024",".349",".368",35.7,4.5,46.3,"99.765368281","94.505396871",12.8,36.6
"Cabrera, Miguel",408234,2017,529,16,20.8,10.2,"739",".313",".370",41.7,10.5,48.2,"101.694912597","95.468080194",23.1,50.3
"Phillips, Brandon",408252,2017,604,13,12.1,3.5,"645",".316",".300",31.1,2.4,25.1,"95.331401585","91.737077703",20.2,56.3
"Reyes, José",408314,2017,561,15,14.1,8.9,"734",".312",".290",32.8,2.6,24.2,"94.454647109","91.42633867",17.7,45.2
"Choo, Shin-Soo",425783,2017,636,22,21.1,12.1,"1013",".339",".367",36.1,8.6,37.8,"99.32635","93.783161845",23.2,42.1
"Molina, Yadier",425877,2017,543,18,13.6,5.2,"654",".316",".330",35.2,5.9,35,"97.479471767","92.916483",18.7,52.7
"Canó, Robinson",429664,2017,648,23,13.1,7.6,"823",".334",".355",33.9,6.3,44,"101.09943898","94.796904086",17.8,52
"Encarnación, Edwin",429665,2017,669,38,19.9,15.5,"1187",".373",".389",36.4,10.3,42.5,"100.818156901","94.516538662",25.4,43
"Bautista, José",430832,2017,686,23,24.8,12.2,"1209",".295",".306",29.7,6.6,35.6,"99.742989147","93.902020711",28.4,41
"Jones, Adam",430945,2017,635,26,17.8,4.3,"729",".334",".317",33.6,6.4,31.1,"97.612420249","92.806676992",24.4,58.4
"Granderson, Curtis",434158,2017,527,26,23.3,13.5,"960",".330",".340",33.1,10.9,34.4,"97.813685466","92.975982733",19.2,38.4
"Ramirez, Hanley",434670,2017,553,23,21,9.2,"776",".318",".347",35,9.5,38.4,"100.642184895","94.389231636",25.6,48
"Morales, Kendrys",434778,2017,608,28,21.7,7.1,"849",".320",".354",31.1,10,46.6,"102.120359252","95.560212248",29,49.6
"Kinsler, Ian",435079,2017,613,22,14,9,"886",".313",".328",37.2,4.9,30.1,"96.329091379","92.174345162",15.6,44.5
"Cruz Jr., Nelson",443558,2017,645,39,21.7,10.9,"970",".385",".405",34.5,14.2,48.3,"105.334256066","97.180409265",30.5,47.2
"Trumbo, Mark",444432,2017,603,23,24.7,7,"809",".295",".300",26.5,7.1,38.5,"101.885594829","94.981976406",29.9,49.6
"Peralta, David",444482,2017,577,14,16.3,7.5,"782",".342",".316",27,4.1,35.4,"99.665493426","93.848729537",21.8,48.6
"Escobar, Alcides",444876,2017,629,6,16.2,2.4,"707",".269",".272",34.1,2.2,21,"94.29035898","91.165861694",20.9,53.9
"Longoria, Evan",446334,2017,677,20,16.1,6.8,"866",".312",".310",32.4,5.2,32.4,"97.328537054","92.672334806",20.9,49.8
"Cozart, Zack",446359,2017,507,24,15.4,12.2,"824",".392",".330",35.7,4.4,28.9,"96.24154978","92.132340744",16,40.9
"Reynolds, Mark",448602,2017,593,30,29.5,11.6,"972",".357",".319",36.5,8.3,35.9,"99.407083161","93.780711758",34.3,44.6
"Davis, Chris",448801,2017,524,26,37.2,11.6,"800",".312",".329",40.4,12.8,45.5,"101.208092652","94.924044487",35.2,42.9
"Headley, Chase",452104,2017,586,12,22.5,10.2,"891",".329",".316",36.9,4.6,33.2,"97.54704401","92.799730234",26,44.4
"Pence, Hunter",452254,2017,539,13,18.9,7.4,"819",".303",".319",25.3,5.8,37.6,"99.58201599","93.953045685",26.9,44.8
"Span, Denard",452655,2017,542,12,12.7,7.4,"730",".325",".327",34.2,3.3,25.1,"95.627568152","91.838526588",11.8,44.1
"Cabrera, Asdrúbal",452678,2017,540,14,15.4,9.3,"793",".338",".331",37.6,4.7,33.5,"96.988177222","92.610835758",19.1,47
"Blackmon, Charlie",453568,2017,725,37,18.6,9,"1049",".414",".372",38.1,8.7,36.4,"98.886140196","93.502053399",19,46.4
"Frazier, Todd",453943,2017,576,27,21.7,14.4,"1035",".335",".355",33.1,9.6,30.3,"97.706168418","92.869453003",25.7,40.4
"Markakis, Nick",455976,2017,670,8,16.4,10.1,"1038",".321",".320",34,3.3,34.7,"98.025201618","93.159777069",15.6,40.7
"Cain, Lorenzo",456715,2017,645,15,15.5,8.4,"899",".347",".348",32.1,3.5,35.6,"99.721094938","93.977696337",19.8,49.3
"McCutchen, Andrew",457705,2017,650,28,17.8,11.2,"1030",".360",".362",33.7,7.7,38.9,"99.573228009","93.969810708",21.2,44.9
"Upton, Justin",457708,2017,635,35,28.3,11.7,"1044",".378",".361",36,13.2,41.3,"100.869304656","94.541684074",30.5,44.4
"Turner, Justin",457759,2017,543,21,10.3,10.9,"813",".400",".399",37.7,8.6,38.6,"98.406863564","93.433791092",15.7,43.8
"Posey III, Buster",457763,2017,568,12,11.6,10.7,"820",".366",".345",36.5,3.5,34.8,"97.772684491","93.076547332",15.9,44.2
"Bruce, Jay",457803,2017,617,36,22.5,9.2,"911",".350",".354",39.4,10.5,38.8,"99.028100909","93.629769688",27.6,49.8
"Votto, Joey",458015,2017,707,36,11.7,19,"1183",".428",".416",40.5,9.1,32.8,"97.453070166","92.834896258",15.4,41.9
"Gardner, Brett",458731,2017,682,21,17.9,10.6,"1164",".336",".333",34.4,3.8,31,"96.828625447","92.422865617",15.5,36.3
"Joyce, Matt",459964,2017,544,25,20.8,12.1,"928",".343",".356",38.3,8.8,34.4,"98.388749333","93.231177361",24.9,42.3
"Gordon, Alex",460086,2017,541,9,23.3,8.3,"830",".269",".296",34.6,4.5,31.3,"97.557368844","92.780268526",23,47.4
