"last_name, first_name","player_id","year","player_age","pa","double","home_run","k_percent","bb_percent","xwoba","exit_velocity_avg","out_zone_swing_miss","pull_percent","opposite_percent","groundballs_percent"
"Pujols, Albert",405395,2021,41,296,3,17,15.2,4.7,".322","90.3",76,46.1,25.4,46.1
"Cabrera, Miguel",408234,2021,38,526,16,15,22.4,7.6,".315","91.4",134,32.8,30,49
"Molina, Yadier",425877,2021,38,473,19,11,16.7,5.1,".306","88",121,43.4,22.3,42.6
"Suzuki, Kurt",435559,2021,37,247,8,6,17.8,4.9,".264","85.2",53,47.8,20.6,44.4
"Cruz Jr., Nelson",443558,2021,40,584,21,32,21.6,8.7,".363","92.9",172,36.6,27,43.4
"Peralta, David",444482,2021,33,538,30,8,17.1,8.6,".293","89.3",115,31.2,28,54.9
"Piña, Manny",444489,2021,34,208,6,13,18.3,10.6,".331","86.5",53,44.8,18.2,38.5
"Escobar, Alcides",444876,2021,34,349,21,4,16,4.9,".309","81.7",87,31.1,30.7,45.3
"Longoria, Evan",446334,2021,35,291,17,13,23.4,12,".351","94.1",46,35.8,25.1,41.2
"Cabrera, Asdrúbal",452678,2021,35,352,21,7,22.7,10.2,".286","87.8",83,46.4,21.5,42.5
"Blackmon, Charlie",453568,2021,34,582,25,13,15.6,9.3,".359","87.6",100,35.7,22.5,47.4
"Maldonado, Martín",455117,2021,34,426,10,12,29.8,11,".267","88",106,40.1,25.9,37.2
"Chirinos, Robinson",455139,2021,37,112,5,5,32.1,8,".291","89.4",30,46.8,24.2,35.5
"Cain, Lorenzo",456715,2021,35,286,13,8,16.8,9.1,".317","88.4",66,32.4,30,50
"Solano, Donovan",456781,2021,33,344,17,7,16.9,7.3,".335","88.3",73,33.1,27.2,42.1
"McCutchen, Andrew",457705,2021,34,574,24,27,23,14.1,".344","88.8",108,48.7,18.5,40.9
"Upton, Justin",457708,2021,33,362,12,17,29.6,10.8,".322","90.1",94,44.9,21,42.5
"Turner, Justin",457759,2021,36,612,22,27,16,10,".359","90.9",87,31.3,30.2,35.4
"Posey III, Buster",457763,2021,34,454,23,18,19.2,12.3,".361","88.5",68,30.3,24.8,46.5
"Votto, Joey",458015,2021,37,533,23,36,23.8,14.4,".406","92.9",126,40.9,22.2,33.2
"Gardner, Brett",458731,2021,37,461,16,10,21.7,13,".296","86.7",61,33.6,28.9,46
"Andrus, Elvis",462101,2021,32,541,25,3,15,5.7,".308","87.8",127,32.2,25.5,47
"Ramos, Wilson",467092,2021,33,163,5,8,22.1,5.5,".308","89.6",44,37.1,27.6,54.3
"Santana, Carlos",467793,2021,35,659,15,19,15.5,13.1,".335","89.9",120,43.4,17.1,45.3
"Parra, Gerardo",467827,2021,34,107,5,2,28,5.6,".253","87.5",25,23.2,37.7,34.8
"Mercer, Jordy",474568,2021,34,127,7,2,26.8,7.1,".284","86.7",34,41.7,23.8,38.1
"Belt, Brandon",474832,2021,33,381,14,29,27,12.6,".374","89.2",60,43,26,29.1
"Zimmerman, Ryan",475582,2021,36,273,16,14,28.2,5.9,".300","91.3",89,34.4,17.8,50
"Lowrie, Jed",476704,2021,37,512,28,14,21.1,9.6,".343","90.7",95,37.1,23.2,36.8
"Avila, Alex",488671,2021,34,111,9,1,33.3,17.1,".297","88.6",22,41.5,20.8,43.4
"Brantley Jr., Michael",488726,2021,34,508,29,8,10.4,6.5,".361","89.5",48,33.3,25.4,46.8
"Castro, Jason",488771,2021,34,179,7,8,30.2,14,".376","90.5",35,41.2,27.8,39.2
"Gurriel Jr., Yuli",493329,2021,37,605,31,15,11.2,9.8,".326","89.8",78,33.3,25.7,41.6
"Rojas, Miguel",500743,2021,32,539,30,9,13.7,6.9,".292","86.2",104,33.3,28.1,45.6
"Escobar, Eduardo",500871,2021,32,599,26,28,20.7,8,".328","87",132,45.3,23.7,33.3
"Adrianza, Ehire",501303,2021,31,209,9,5,20.1,10,".314","85.4",40,42.4,20.1,41
"Lagares, Juan",501571,2021,32,327,20,6,23.2,3.7,".282","90.6",83,37.8,29.4,46.6
"Almonte, Abraham",501659,2021,32,175,12,5,21.7,14.9,".317","89.3",38,43.2,23.4,46.8
"Davis, Khris",501981,2021,33,114,5,3,27.2,8.8,".311","89.9",28,47.9,24.7,47.9
"Pham, Tommy",502054,2021,33,561,24,15,22.8,13.9,".350","90.8",95,30.8,28.5,49.6
"Martinez, J.D.",502110,2021,33,634,42,28,23.7,8.7,".374","92.1",197,33.4,30.6,34.1
"Reddick, Josh",502210,2021,34,158,11,2,19.6,3.8,".285","85.1",44,42.1,23.1,37.2
"Dyson, Jarrod",502481,2021,36,149,7,0,22.1,6.7,".251","83.5",31,34,21.7,61.3
"Goldschmidt, Paul",502671,2021,33,679,36,31,20,9.9,".397","92.6",120,37.1,24.4,37.3
"Gonzalez, Marwin",503556,2021,32,307,14,5,25.4,6.5,".281","87.9",79,44,20.5,52
"León, Sandy",506702,2021,32,220,5,4,29.5,5.5,".216","87.3",64,43.6,25.7,40
"Altuve, Jose",514888,2021,31,678,32,31,13.4,9.7,".332","87.7",111,49.7,14.5,41
"Hernández, César",514917,2021,31,637,21,21,21.2,9.3,".311","87.4",122,35.2,23.7,47.3
"Segura, Jean",516416,2021,31,567,27,14,13.8,6.9,".319","87.2",100,30.2,28.3,52.4
"Castro, Starlin",516770,2021,31,346,20,3,17.9,7.5,".324","88.4",67,31.5,28.8,49.8
"Marte, Starling",516782,2021,32,526,27,12,18.8,8.2,".347","87.6",133,34.2,27,56.3
"Culberson, Charlie",518586,2021,32,271,15,5,23.6,6.3,".269","85.4",89,39.4,25,48.9
"d'Arnaud, Travis",518595,2021,32,229,14,7,23.1,7.4,".312","89.9",53,34.4,29.3,46.5
"Donaldson, Josh",518626,2021,35,543,26,26,21,13.6,".388","94.1",106,42.5,21.7,43.9
"Freeman, Freddie",518692,2021,31,695,25,31,15.4,12.2,".416","91.4",113,36.2,26.1,43.2
"Grandal, Yasmani",518735,2021,32,375,9,23,21.9,23.2,".412","93.1",66,44.3,19.7,41.4
"Heyward, Jason",518792,2021,31,353,15,8,19.3,7.6,".294","88.2",94,41.2,20.8,50.6
"LeMahieu, DJ",518934,2021,32,679,24,10,13.8,10.8,".340","90.6",75,23.4,36.6,52
"Moreland, Mitch",519048,2021,35,252,11,10,23,7.1,".297","91",74,39.7,24.1,46
"Moustakas, Mike",519058,2021,32,206,12,6,22.3,8.7,".276","87",67,43.6,25.7,36.4
"Rizzo, Anthony",519203,2021,31,576,23,22,15.1,9,".347","90.1",106,43.2,22.2,41.3
"Sogard, Eric",519299,2021,35,180,6,1,16.7,5,".228","84",24,26.2,31.9,46.1
"Stanton, Giancarlo",519317,2021,31,579,19,35,27.1,10.9,".363","95.1",185,34.8,29.2,45.5
"Vogt, Stephen",519390,2021,36,238,6,7,23.5,10.9,".288","88.5",58,44.2,20.5,35.3
"Galvis, Freddy",520471,2021,31,394,15,14,19.5,6.9,".280","86.8",82,41.5,23.2,39.8
"Perez, Salvador",521692,2021,31,665,24,48,25.6,4.2,".371","93",311,42.7,22.2,37.4
"Flores, Wilmer",527038,2021,29,436,16,18,12.8,9.4,".312","88.6",61,43.8,20.2,37.2
"García, Avisaíl",541645,2021,30,515,18,29,23.5,7.4,".366","90.4",173,39.4,21.7,48.4
"Ozuna, Marcell",542303,2021,30,208,6,7,22.1,9.1,".344","89.7",45,36.6,24.6,35.9
"Villar, Jonathan",542340,2021,30,505,18,18,26.1,9.1,".307","88",143,38,28.4,49.1
"Ortega, Rafael",542364,2021,30,330,14,11,21.2,9.1,".311","88.3",72,43.4,25,35.1
"Santana, Danny",542454,2021,30,127,2,5,23.6,7.9,".275","87.6",45,34.9,30.2,41.9
"Aguilar, Jesús",542583,2021,31,510,23,22,18.2,9,".334","89.6",132,41.3,21.2,33.3
"Berti, Jon",542932,2021,31,271,10,4,22.5,11.8,".302","87.1",52,29.1,34.9,59.4
